system:index,ADAUID,ADAUID_1,APMean,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CCSUID_12_,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CDUID_12_1,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CMAUID_12_,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CSDUID_12_,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,CTUID_12_1,DAPOP16,DAPOP16_1,DATDWEL16,DATDWEL16_,DAUID,DAUID_1,DAUID_12,DAUID_12_1,DAURDWEL16,DAURDWEL_1,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,ERUID_12_1,FID_Munici,FID_gda_00,FULL_NAME,F_geo,F_geo_1,MUN_NAME,OBJECTID,OBJECTID_2,OBJECTID_3,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,PRUID_12_1,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Ar_1,SHAPE_Ar_2,SHAPE_Le_2,SHAPE_Le_3,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,mean,mean_1,system_i_1,system_ind,.geo
00000000000000000163,0,0,17.09321803,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350501.02,5350501.02,0.0,0.0,0.0,0.0,0.0,0.0,35210422,35210422,0,0,0.0,0.0,,,3530,3530,0,0,2,26772,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.34465362865E-4,0.13221006755,,0.3107123004469367,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,0,0,21.21549646,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350515.02,5350515.02,0.0,0.0,0.0,0.0,0.0,0.0,35210447,35210447,0,0,0.0,0.0,,,3530,3530,0,0,2,26795,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,3.25078894389E-5,0.0257635485726,,0.2270568149792674,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018b,0,0,18.80596806,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350516.14,5350516.14,0.0,0.0,0.0,0.0,0.0,0.0,35210476,35210476,0,0,0.0,0.0,,,3530,3530,0,0,2,26812,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.94515787985E-4,0.0774457728896,,0.16918941962694162,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b2,0,0,16.58970459,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350516.35,5350516.35,0.0,0.0,0.0,0.0,0.0,0.0,35210525,35210525,0,0,0.0,0.0,,,3530,3530,0,0,2,26851,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.11743951869E-5,0.016430082835,,0.1591590745598003,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bf,0,0,20.02920682,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350516.06,5350516.06,0.0,0.0,0.0,0.0,0.0,0.0,35210546,35210546,0,0,0.0,0.0,,,3530,3530,0,0,2,26864,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,4.35797616895E-5,0.0374122154668,,0.08666192573033706,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000208,0,0,19.56744363,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350528.01,5350528.01,0.0,0.0,0.0,0.0,0.0,0.0,35210648,35210648,0,0,0.0,0.0,,,3530,3530,0,0,2,26937,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,4.67939407258E-5,0.05364894814,,0.1686479624090812,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000226,0,0,21.51642004,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350528.02,5350528.02,0.0,0.0,0.0,0.0,0.0,0.0,35210687,35210687,0,0,0.0,0.0,,,3530,3530,0,0,2,26967,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,6.61548880534E-5,0.0369266033462,,0.11878747509428227,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000234,0,0,21.76100197,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350519.00,5350519.0,0.0,0.0,0.0,0.0,0.0,0.0,35210702,35210702,0,0,0.0,0.0,,,3530,3530,0,0,2,26981,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,7.11475237031E-5,0.0586290946337,,0.16961487043206824,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259,0,0,16.93507548,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350505.02,5350505.02,0.0,0.0,0.0,0.0,0.0,0.0,35210746,35210746,0,0,0.0,0.0,,,3530,3530,0,0,2,27018,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.39385814607E-4,0.0718337371578,,0.26031511954855013,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028a,0,0,20.51475804,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350512.00,5350512.0,0.0,0.0,0.0,0.0,0.0,0.0,35210805,35210805,0,0,0.0,0.0,,,3530,3530,0,0,2,27067,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.35404853626E-5,0.0171076706226,,0.2093227878538739,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b0,0,0,20.00392014,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350520.06,5350520.06,0.0,0.0,0.0,0.0,0.0,0.0,35210871,35210871,0,0,0.0,0.0,,,3530,3530,0,0,2,27105,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.58627676171E-5,0.0188405974276,,0.19737141837324268,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c9,0,0,22.13287962,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350528.18,5350528.18,0.0,0.0,0.0,0.0,0.0,0.0,35210919,35210919,0,0,0.0,0.0,,,3530,3530,0,0,2,27130,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.25575855504E-5,0.02056236191,,0.09808424926327283,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000411,0,0,22.18741849,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350530.02,5350530.02,0.0,0.0,0.0,0.0,0.0,0.0,35211410,35211410,0,0,0.0,0.0,,,3530,3530,0,0,2,27445,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,3.09085291259E-5,0.0269790717855,,0.15356521399933,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000417,0,0,23.74286245,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350526.02,5350526.02,0.0,0.0,0.0,0.0,0.0,0.0,35211418,35211418,0,0,0.0,0.0,,,3530,3530,0,0,2,27451,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.35135371393E-5,0.0152387235388,,0.18600708182830503,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000419,0,0,27.05494444,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350525.02,5350525.02,0.0,0.0,0.0,0.0,0.0,0.0,35211420,35211420,0,0,0.0,0.0,,,3530,3530,0,0,2,27453,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.81420539666E-4,0.0945512103318,,0.16014478398624937,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000420,0,0,20.17504119,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350516.25,5350516.25,0.0,0.0,0.0,0.0,0.0,0.0,35211429,35211429,0,0,0.0,0.0,,,3530,3530,0,0,2,27460,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.28027761767E-4,0.0769010768185,,0.1521572923975317,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000422,0,0,17.89818693,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350516.29,5350516.29,0.0,0.0,0.0,0.0,0.0,0.0,35211431,35211431,0,0,0.0,0.0,,,3530,3530,0,0,2,27462,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.98823934792E-5,0.0345974279844,,0.12818826659640598,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
