system:index,APMean,APMean_1,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,DAUID,DAUID_1,DAUID_12,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,FID_Munici,FID_gda_00,FULL_NAME,MUN_NAME,OBJECTID,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,geometry_1,mean,.geo
00000000000000000039,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0590.00,0.0,5350590.00,0.0,0.0,35220100,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,25531,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,4406.50217141,666.08338626,,,0.36200747607570116,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0590.00,0.0,5350590.00,0.0,0.0,35220098,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,26430,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,20301.4836108,1929.1411632,,,0.3037504078173796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0590.00,0.0,5350590.00,0.0,0.0,35220088,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,28211,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,297.192812893,267.655066691,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0590.00,0.0,5350590.00,0.0,0.0,35220099,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,28870,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,37094.721623,2615.94993495,,,0.33123098254394895,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0591.02,0.0,5350591.02,0.0,0.0,35220103,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,26311,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,706.844615007,926.455999917,,,0.3215953006647086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0591.02,0.0,5350591.02,0.0,0.0,35220101,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,26887,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,2158.74210864,1067.28810199,,,0.3082066772931964,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0591.02,0.0,5350591.02,0.0,0.0,35220109,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,28826,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,728.417641627,1626.73974998,,,0.3182564118594002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0592.01,0.0,5350592.01,0.0,0.0,35220084,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,24550,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,56442.8892024,3456.34378659,,,0.25108817898814767,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0592.01,0.0,5350592.01,0.0,0.0,35220086,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,25627,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,884980.334157,5951.81575729,,,0.31158691290122575,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,0.0,0.0,695.99302927,Mono,,3522012,0,0,Dufferin,,CTY,,3522,0,0,Toronto,,35535,0,B,,535,0,0,Orangeville,,T,,3522014,0,0,0592.01,0.0,5350592.01,0.0,0.0,35220087,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,27411,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,3313.24083674,390.024135097,,,0.19512156288311813,"{""type"":""MultiPoint"",""coordinates"":[]}"
